subject,gender,heights,arm_lengths,crotch_heights,chest_circumferences,hip_circumferences,waist_circumferences
csr0001a.ply,0,1879.6,697,815.0,1393,1422.0,1385.0
csr0002a.ply,0,1828.8,663,818.0,1149,1105.0,1002.0
csr0007a.ply,0,1752.6,605,744.0,1160,1052.0,929.0
csr0008a.ply,0,1828.8,644,838.0,988,1019.0,895.0
csr0009a.ply,0,1778.0,651,794.0,1052,1046.0,934.0
csr0010a.ply,0,1828.8,649,807.0,1092,1099.0,984.0
csr0012a.ply,0,1714.5,588,730.0,1041,1036.0,896.0
csr0013a.ply,0,1701.8,616,790.0,900,932.0,771.0
csr0014a.ply,1,1574.8,534,720.0,908,1067.0,735.0
csr0015a.ply,1,1574.8,539,713.0,872,960.0,686.0
csr0016a.ply,0,1854.2,657,870.0,953,916.0,769.0
csr0017a.ply,1,1574.8,564,686.0,1212,1308.0,980.0
csr0024a.ply,0,1752.6,635,790.0,1088,1052.0,943.0
csr0025a.ply,0,1854.2,648,795.0,1171,1085.0,1005.0
csr0026a.ply,0,1727.2,592,768.0,1042,1012.0,845.0
csr0027a.ply,0,1701.8,583,786.0,998,956.0,846.0
csr0028a.ply,0,1676.4,615,746.0,1122,1063.0,966.0
csr0029a.ply,0,1676.4,618,721.0,945,985.0,846.0
csr0030a.ply,0,1828.8,647,824.0,1015,1038.0,885.0
csr0047a.ply,0,1701.8,598,804.0,988,1034.0,863.0
csr0048a.ply,0,1854.2,646,807.0,1097,1040.0,925.0
csr0049a.ply,0,1854.2,663,856.0,1022,943.0,758.0
csr0050a.ply,0,1854.2,636,823.0,1072,1171.0,919.0
csr0051a.ply,0,1778.0,631,799.0,822,912.0,740.0
csr0052a.ply,1,1574.8,517,721.0,805,911.0,580.0
csr0053a.ply,1,1562.1,523,684.0,997,987.0,782.0
csr0054a.ply,1,1625.6,579,716.0,958,1132.0,795.0
csr0055a.ply,1,1574.8,540,678.0,987,1054.0,809.0
csr0056a.ply,1,1498.6,512,674.0,921,1002.0,735.0
csr0057a.ply,0,1752.6,592,749.0,950,994.0,854.0
csr0058a.ply,0,1778.0,646,809.0,999,989.0,831.0
csr0059a.ply,0,1676.4,580,749.0,1013,1004.0,945.0
csr0060a.ply,1,1714.5,608,798.0,984,1065.0,810.0
csr0062a.ply,0,1803.4,647,837.0,946,946.0,776.0
csr0063a.ply,0,1905.0,648,833.0,1223,1128.0,1015.0
csr0064a.ply,1,1600.2,587,732.0,872,934.0,683.0
csr0065a.ply,1,1727.2,619,865.0,941,942.0,727.0
csr0067a.ply,1,1625.6,559,721.0,911,988.0,720.0
csr0068a.ply,0,1905.0,682,830.0,1133,1112.0,1018.0
csr0069a.ply,1,1651.0,538,742.0,872,975.0,663.0
csr0070a.ply,1,1676.4,576,735.0,1000,952.0,843.0
csr0071a.ply,0,1943.1,671,883.0,1012,1040.0,927.0
csr0072a.ply,1,1625.6,561,772.0,785,953.0,611.0
csr0073a.ply,0,1778.0,625,791.0,1085,1026.0,899.0
csr0074a.ply,1,1625.6,570,754.0,838,930.0,708.0
csr0075a.ply,1,1651.0,590,724.0,910,1035.0,679.0
csr0076a.ply,1,1530.35,545,702.0,990,1075.0,700.0
csr0078a.ply,1,1676.4,571,749.0,885,969.0,661.0
csr0079a.ply,0,1778.0,622,779.0,995,1035.0,793.0
csr0080a.ply,0,1828.8,616,787.0,973,1089.0,900.0
csr0081a.ply,0,1898.65,656,861.0,1079,1059.0,936.0
csr0082a.ply,0,1828.8,677,795.0,1324,1291.0,1186.0
csr0083a.ply,1,1612.9,603,789.0,844,957.0,647.0
csr0084a.ply,1,1778.0,594,778.0,1064,1097.0,879.0
csr0085a.ply,0,1828.8,612,850.0,960,1004.0,831.0
csr0086a.ply,1,1625.6,597,710.0,1102,1210.0,955.0
csr0087a.ply,1,1689.1,579,762.0,1009,1067.0,747.0
csr0088a.ply,0,1727.2,593,756.0,981,968.0,822.0
csr0089a.ply,1,1676.4,576,808.0,881,895.0,706.0
csr0090a.ply,1,1625.6,593,756.0,834,958.0,681.0
csr0092a.ply,1,1549.4,568,729.0,991,1103.0,817.0
csr0093a.ply,1,1574.8,554,700.0,900,1019.0,716.0
csr0094a.ply,1,1600.2,542,690.0,1073,1129.0,879.0
csr0095a.ply,1,1511.3,518,666.0,839,931.0,616.0
csr0096a.ply,1,1676.4,581,771.0,939,1004.0,738.0
csr0097a.ply,1,1714.5,643,812.0,946,1097.0,780.0
csr0098a.ply,0,1727.2,577,761.0,862,978.0,758.0
csr0099a.ply,1,1727.2,565,760.0,908,1016.0,688.0
csr0100a.ply,0,1854.2,654,830.0,1092,1070.0,970.0
csr0103a.ply,0,1905.0,661,835.0,1261,1111.0,1060.0
csr0104a.ply,1,1651.0,559,763.0,892,1003.0,719.0
csr0105a.ply,0,1905.0,705,885.0,1163,1159.0,1092.0
csr0106a.ply,0,1828.8,664,840.0,1054,1027.0,923.0
csr0107a.ply,0,1727.2,585,747.0,970,1068.0,945.0
csr0108a.ply,0,1828.8,655,839.0,999,1063.0,915.0
csr0112a.ply,0,1676.4,598,725.0,1017,1017.0,884.0
csr0113a.ply,1,1828.8,631,792.0,1230,1482.0,1060.0
csr0114a.ply,1,1663.7,570,735.0,936,1075.0,713.0
csr0115a.ply,1,1625.6,578,764.0,860,965.0,652.0
csr0116a.ply,1,1651.0,560,749.0,864,982.0,601.0
csr0117a.ply,0,1803.4,611,796.0,972,962.0,840.0
csr0118a.ply,1,1651.0,560,732.0,912,1161.0,710.0
csr0119a.ply,1,1524.0,544,678.0,819,919.0,661.0
csr0121a.ply,1,1651.0,552,759.0,922,997.0,743.0
csr0122a.ply,0,1879.6,673,779.0,1314,1385.0,1277.0
csr0123a.ply,0,1879.6,685,873.0,1079,1035.0,1010.0
csr0125a.ply,1,1625.6,582,745.0,1089,1173.0,867.0
csr0126a.ply,0,1778.0,641,832.0,996,1060.0,820.0
csr0127a.ply,1,1651.0,592,770.0,931,1136.0,809.0
csr0128a.ply,0,1917.7,697,849.0,1084,1052.0,983.0
csr0129a.ply,0,1727.2,608,755.0,1086,1119.0,957.0
csr0130a.ply,0,1701.8,632,755.0,939,923.0,779.0
csr0131a.ply,0,1854.2,673,843.0,1123,1099.0,963.0
csr0132a.ply,0,1714.5,593,765.0,1031,998.0,891.0
csr0133a.ply,0,1778.0,643,769.0,1062,1057.0,989.0
csr0134a.ply,1,1676.4,583,762.0,925,999.0,774.0
csr0135a.ply,0,1803.4,622,779.0,968,997.0,849.0
csr0136a.ply,1,1651.0,583,745.0,827,955.0,655.0
csr0137a.ply,0,1803.4,622,795.0,972,1046.0,869.0
csr0138a.ply,0,1905.0,696,878.0,1039,1111.0,954.0
csr0139a.ply,0,1803.4,644,768.0,1058,1103.0,937.0
csr0140a.ply,0,1879.6,656,842.0,1052,1009.0,850.0
csr0142a.ply,0,1778.0,627,827.0,951,1015.0,845.0
csr0143a.ply,1,1574.8,533,719.0,841,939.0,702.0
csr0144a.ply,0,1778.0,614,782.0,963,995.0,807.0
csr0145a.ply,0,1752.6,616,802.0,876,955.0,760.0
csr0146a.ply,0,1828.8,621,834.0,885,957.0,808.0
csr0147a.ply,0,1803.4,677,830.0,1086,1084.0,949.0
csr0148a.ply,0,1701.8,609,772.0,1016,1000.0,838.0
csr0149a.ply,0,1828.8,661,808.0,1096,1070.0,850.0
csr0150a.ply,0,1803.4,644,830.0,1006,1032.0,918.0
csr0151a.ply,0,1778.0,629,811.0,1081,1004.0,961.0
csr0152a.ply,0,1524.0,605,764.0,932,983.0,805.0
csr0154a.ply,0,1765.3,625,800.0,900,985.0,783.0
csr0156a.ply,0,1803.4,554,723.0,1146,1165.0,1094.0
csr0157a.ply,0,1879.6,648,811.0,1134,1165.0,1026.0
csr0158a.ply,1,1676.4,595,756.0,880,1006.0,623.0
csr0159a.ply,0,1676.4,604,712.0,1022,1061.0,845.0
csr0160a.ply,1,1549.4,546,694.0,789,967.0,622.0
csr0161a.ply,1,1574.8,528,744.0,922,974.0,739.0
csr0163a.ply,1,1574.8,521,706.0,909,1038.0,660.0
csr0164a.ply,0,1905.0,695,847.0,1183,1144.0,1102.0
csr0165a.ply,0,1752.6,618,784.0,994,994.0,871.0
csr0166a.ply,1,1727.2,582,798.0,924,1078.0,704.0
csr0167a.ply,0,1803.4,644,804.0,906,973.0,864.0
csr0168a.ply,0,1803.4,634,740.0,1136,1065.0,1022.0
csr0169a.ply,0,1727.2,638,768.0,1074,1048.0,935.0
csr0170a.ply,0,1727.2,605,791.0,953,1024.0,845.0
csr0171a.ply,0,2108.2,722,952.0,1007,1097.0,974.0
csr0172a.ply,0,1739.9,602,753.0,1081,1040.0,981.0
csr0173a.ply,0,1765.3,610,746.0,1068,1110.0,928.0
csr0174a.ply,1,1651.0,574,747.0,1046,1146.0,810.0
csr0175a.ply,1,1524.0,492,672.0,913,985.0,673.0
csr0176a.ply,1,1651.0,543,690.0,1112,1165.0,990.0
csr0177a.ply,0,1600.2,575,700.0,861,909.0,726.0
csr0178a.ply,0,1828.8,648,824.0,1070,1030.0,982.0
csr0179a.ply,0,1905.0,651,850.0,1056,1021.0,909.0
csr0180a.ply,0,1651.0,571,696.0,885,906.0,811.0
csr0182a.ply,1,1600.2,544,738.0,835,985.0,657.0
csr0183a.ply,1,1676.4,566,772.0,880,959.0,666.0
csr0184a.ply,0,1600.2,575,695.0,986,954.0,872.0
csr0185a.ply,1,1701.8,588,773.0,812,991.0,677.0
csr0186a.ply,0,1739.9,621,794.0,912,1021.0,892.0
csr0187a.ply,0,1676.4,591,707.0,1149,1009.0,956.0
csr0188a.ply,0,1778.0,611,780.0,1093,1045.0,1120.0
csr0189a.ply,1,1676.4,569,769.0,905,996.0,681.0
csr0190a.ply,0,1752.6,602,762.0,970,1057.0,880.0
csr0192a.ply,1,1651.0,557,749.0,1008,1020.0,768.0
csr0193a.ply,0,1752.6,616,763.0,997,970.0,913.0
csr0194a.ply,0,1803.4,617,783.0,1023,1044.0,936.0
csr0195a.ply,1,1524.0,514,656.0,795,892.0,638.0
csr0196a.ply,0,1905.0,705,835.0,1236,1305.0,1216.0
csr0197a.ply,0,1727.2,569,751.0,1038,983.0,865.0
csr0198a.ply,0,1727.2,608,757.0,963,1053.0,901.0
csr0199a.ply,0,1854.2,669,873.0,1165,1125.0,981.0
csr0201a.ply,0,1778.0,623,783.0,1152,1142.0,978.0
csr0203a.ply,1,1574.8,546,725.0,827,955.0,650.0
csr0204a.ply,0,1879.6,663,884.0,927,1008.0,896.0
csr0205a.ply,0,1778.0,636,801.0,1088,1046.0,918.0
csr0206a.ply,0,1828.8,656,817.0,1004,1033.0,836.0
csr0207a.ply,0,1676.4,593,731.0,843,906.0,739.0
csr0208a.ply,1,1473.2,511,654.0,854,916.0,622.0
csr0209a.ply,0,1701.8,601,688.0,985,1032.0,945.0
csr0210a.ply,1,1676.4,570,761.0,887,1046.0,735.0
csr0211a.ply,0,1778.0,642,800.0,981,1025.0,851.0
csr0212a.ply,0,1879.6,670,845.0,998,1054.0,909.0
csr0213a.ply,1,1625.6,602,737.0,1009,1231.0,950.0
csr0214a.ply,1,1638.3,549,736.0,885,970.0,739.0
csr0215a.ply,0,1816.1,660,785.0,1089,1110.0,1023.0
csr0216a.ply,1,1625.6,574,763.0,902,1026.0,725.0
